#--------------------------------------------------------------------------------,
CAST                        ,,        8569029,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,GB-10010       ,,,
Originators Station ID      ,,               ,,,alpha,
Originators Cruise ID       ,,DI209          ,,,
Latitude                    ,,        19.2387,decimal degrees,,
Longitude                   ,,        58.9528,decimal degrees,,
Year                        ,,           1994,,,
Month                       ,,              8,,,
Day                         ,,             10,,,
Time                        ,,          18.33,decimal hours (UT),,
METADATA,
Country                     ,,             GB,NODC code,GREAT BRITAIN
Accession Number            ,,       9900097.,NODC code,,
Project                     ,,           379.,NODC code,ARABESQUE,
Platform                    ,,          7824.,OCL code,DISCOVERY (R/V; call sign GLNE; built 12.1962; IMO5090660),
Institute                   ,,           789.,NODC code,UNIV. OF SOUTHAMPTON DEPT OF OCEANOGRAPHY,
Cast/Tow Number             ,,             1.,,,
probe_type                  ,,            12.,OCL_code,towed CTD,
Ocean vehicle type          ,,             2.,WOD code,SeaSoar,
Tow Segment                 ,,             7.,,,
Instrument       ,Temperature,           404.,WOD code,CTD: NEIL BROWN MARK IIIB,
Instrument          ,Salinity,           404.,WOD code,CTD: NEIL BROWN MARK IIIB,
Instrument       ,Chlorophyll,           404.,WOD code,CTD: NEIL BROWN MARK IIIB,
Measure method   ,Chlorophyll,           603.,WOD code,Fluorometer in-situ CTD,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Chlorophyl ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,ug/l      ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,       0.0,0, ,    22.790,0, ,    35.902,0, ,     1.750,0, ,
         2,       5.0,0, ,    22.790,0, ,    35.902,0, ,     1.750,0, ,
         3,      10.0,0, ,    22.791,0, ,    35.902,0, ,     1.744,0, ,
         4,      15.0,0, ,    22.758,0, ,    35.903,0, ,     1.716,0, ,
         5,      20.0,0, ,    22.577,0, ,    35.908,0, ,     1.580,0, ,
         6,      25.0,0, ,    22.195,0, ,    35.903,0, ,     1.230,0, ,
         7,      30.0,0, ,    21.804,0, ,    35.898,0, ,     0.865,0, ,
         8,      35.0,0, ,    21.454,0, ,    35.894,0, ,     0.511,0, ,
         9,      40.0,0, ,    21.024,0, ,    35.864,0, ,     0.306,0, ,
        10,      45.0,0, ,    20.525,0, ,    35.822,0, ,     0.220,0, ,
        11,      50.0,0, ,    20.476,0, ,    35.805,0, ,     0.213,0, ,
        12,      55.0,0, ,    20.345,0, ,    35.819,0, ,     0.207,0, ,
        13,      60.0,0, ,    20.104,0, ,    35.862,0, ,     0.201,0, ,
        14,      65.0,0, ,    20.085,0, ,    35.899,0, ,     0.134,0, ,
        15,      70.0,0, ,    20.022,0, ,    35.907,0, ,    0.0818,0, ,
        16,      75.0,0, ,    19.826,0, ,    35.890,0, ,    0.0862,0, ,
        17,      80.0,0, ,    19.634,0, ,    35.876,0, ,     0.101,0, ,
        18,      85.0,0, ,    19.423,0, ,    35.864,0, ,     0.119,0, ,
        19,      90.0,0, ,    19.178,0, ,    35.851,0, ,    0.0797,0, ,
        20,      95.0,0, ,    18.972,0, ,    35.846,0, ,    0.0747,0, ,
        21,     100.0,0, ,    18.844,0, ,    35.846,0, ,    0.0800,0, ,
        22,     125.0,0, ,    18.167,0, ,    35.857,0, ,     0.116,0, ,
