#--------------------------------------------------------------------------------,
Country                     ,,             SU,NODC code,SOVIET UNION
Accession Number            ,,       229.0000,NODC code,,
Platform                    ,,          6950.,OCL code,ZHELEZNYAKOV (F/V; call sign UDUG; built 1967; IMO6927444),
Bottom depth                ,,            40.,meters,,
Wave Height                 ,,             3.,WMO code 1555,1.5 METER,
Wind speed                  ,,             0.,knots,,
Barometric pressure         ,,         1015.0,millibars,,
Air temperature (dry bulb)  ,,          29.00,degrees Celsius,,
Air temperature (wet bulb)  ,,            0.0,degrees Celsius,,
Cloud cover                 ,,             5.,WMO code 2700,5 OKTAS     6/10,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Database origin             ,,             3.,WOD code,GODAR Project,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,     30.00,0, ,
         2,        5.,0, ,     29.84,0, ,
         3,       10.,0, ,     29.70,0, ,
         4,       15.,0, ,     29.60,0, ,
         5,       20.,0, ,     29.50,0, ,
         6,       25.,0, ,     29.40,0, ,
         7,       30.,0, ,     29.30,0, ,
         8,       35.,0, ,     29.30,0, ,
         9,       40.,0, ,     29.30,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8775881,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-130530      ,,,
Originators Station ID      ,,             85,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         14.433,decimal degrees,,
Longitude                   ,,         54.117,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              5,,,
Day                         ,,             29,,,
Time                        ,,          0.000,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           336.,NODC code,,
Platform                    ,,          7980.,OCL code,NAVY SHIP,
Institute                   ,,          1069.,NODC code,MARINEAMT; ABTEILUNG GEOPHYSIK WILHELMSHAVEN (MAWHV) (WILHELMSHAVEN),
Bottom depth                ,,         2700.0,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      30.4,0, ,
         2,        5.,0, ,      30.4,0, ,
         3,       10.,0, ,      30.4,0, ,
         4,       15.,0, ,      30.3,0, ,
         5,       20.,0, ,      30.3,0, ,
         6,       25.,0, ,      29.8,0, ,
         7,       30.,0, ,      27.2,0, ,
         8,       35.,0, ,      25.8,0, ,
         9,       40.,0, ,      25.3,0, ,
        10,       45.,0, ,      24.8,0, ,
        11,       50.,0, ,      24.4,0, ,
        12,       55.,0, ,      23.9,0, ,
        13,       60.,0, ,      23.4,0, ,
        14,       65.,0, ,      23.0,0, ,
        15,       70.,0, ,      22.6,0, ,
        16,       75.,0, ,      22.3,0, ,
        17,       80.,0, ,      22.1,0, ,
        18,       85.,0, ,      21.9,0, ,
        19,       90.,0, ,      21.7,0, ,
        20,       95.,0, ,      21.5,0, ,
        21,      100.,0, ,      21.3,0, ,
        22,      125.,0, ,      20.3,0, ,
        23,      150.,0, ,      18.1,0, ,
        24,      175.,0, ,      17.5,0, ,
        25,      200.,0, ,      16.9,0, ,
        26,      225.,0, ,      16.1,0, ,
        27,      250.,0, ,      15.1,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8775885,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,DE-130530      ,,,
Originators Station ID      ,,             86,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,         15.617,decimal degrees,,
Longitude                   ,,         56.217,decimal degrees,,
Year                        ,,           1980,,,
Month                       ,,              5,,,
Day                         ,,             29,,,
Time                        ,,         12.000,decimal hours (UT),,
METADATA,
Country                     ,,             DE,NODC code,GERMANY
Accession Number            ,,           336.,NODC code,,
Platform                    ,,          7980.,OCL code,NAVY SHIP,
Institute                   ,,          1069.,NODC code,MARINEAMT; ABTEILUNG GEOPHYSIK WILHELMSHAVEN (MAWHV) (WILHELMSHAVEN),
Bottom depth                ,,         3000.0,meters,,
probe_type                  ,,             1.,OCL_code,MBT,
systematic_fix              ,,             0.,WOD code,no fix necessary,
Instrument       ,Temperature,             1.,WOD code,MBT: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,,
         1,        0.,0, ,      30.3,0, ,
         2,        5.,0, ,      30.3,0, ,
         3,       10.,0, ,      30.2,0, ,
         4,       15.,0, ,      30.2,0, ,
         5,       20.,0, ,      30.1,0, ,
         6,       25.,0, ,      30.1,0, ,
         7,       30.,0, ,      28.8,0, ,
         8,       35.,0, ,      28.1,0, ,
         9,       40.,0, ,      27.8,0, ,
        10,       45.,0, ,      27.5,0, ,
        11,       50.,0, ,      27.2,0, ,
        12,       55.,0, ,      26.8,0, ,
